victim_id,phone,bank_account,device_id,amount
V001,P004,B002,D003,189518
V002,P003,B002,D002,15542
V003,P018,B004,D012,172913
V004,P008,B004,D005,150836
V005,P009,B005,D006,171002
V006,P003,B003,D006,175266
V007,P002,B009,D010,170036
V008,P003,B002,D002,190250
V009,P003,B001,D002,43601
V010,P018,B002,D001,105499
V011,P003,B001,D001,138243
V012,P010,B005,D004,163305
V013,P020,B008,D014,168937
V014,P007,B005,D004,199487
V015,P005,B003,D002,184776
V016,P008,B004,D005,95322
V017,P005,B002,D003,192949
V018,P010,B004,D005,107948
V019,P004,B002,D002,51294
V020,P002,B002,D002,218376
V021,P006,B005,D004,114407
V022,P005,B001,D002,163536
V023,P004,B001,D001,175773
V024,P009,B004,D015,230182
V025,P011,B010,D005,75762
V026,P009,B006,D004,218661
V027,P011,B001,D010,113677
V028,P010,B003,D008,15066
V029,P005,B002,D003,71352
V030,P015,B010,D006,249078
V031,P005,B002,D002,242988
V032,P005,B010,D010,159057
V033,P001,B002,D001,81925
V034,P012,B003,D005,36430
V035,P006,B005,D006,247400
V036,P009,B005,D003,32865
V037,P008,B004,D006,80826
V038,P009,B004,D004,158101
V039,P008,B005,D007,247091
V040,P009,B003,D004,249969
V041,P001,B002,D003,197255
V042,P003,B002,D001,197862
V043,P005,B001,D002,18217
V044,P003,B001,D002,203009
V045,P006,B003,D002,91177
V046,P011,B004,D007,106109
V047,P003,B001,D003,114779
V048,P012,B008,D001,237976
V049,P018,B009,D013,242583
V050,P003,B002,D001,45158
V051,P003,B001,D002,92255
V052,P016,B002,D002,79776
V053,P012,B004,D005,152474
V054,P008,B004,D008,48538
V055,P004,B004,D003,90554
V056,P017,B009,D006,171789
V057,P011,B003,D008,140298
V058,P007,B004,D006,177072
V059,P002,B002,D002,176658
V060,P020,B010,D015,49846
V061,P012,B005,D015,164614
V062,P004,B001,D001,59438
V063,P004,B006,D006,169989
V064,P009,B004,D008,150751
V065,P012,B004,D008,116288
V066,P019,B004,D003,150490
V067,P004,B001,D003,201652
V068,P001,B004,D010,98967
V069,P003,B006,D014,159554
V070,P011,B003,D004,57362
V071,P003,B002,D002,81708
V072,P011,B004,D005,14289
V073,P003,B001,D003,185717
V074,P007,B004,D007,85712
V075,P020,B004,D009,177193
V076,P004,B001,D001,221428
V077,P004,B009,D003,27078
V078,P003,B001,D002,16604
V079,P011,B003,D006,179072
V080,P011,B006,D005,223120
V081,P004,B005,D014,168228
V082,P003,B001,D002,188778
V083,P001,B010,D005,60114
V084,P003,B001,D003,23778
V085,P005,B002,D001,80693
V086,P014,B005,D008,131256
V087,P008,B006,D006,243545
V088,P003,B001,D001,126003
V089,P002,B002,D003,149015
V090,P002,B001,D002,89399
V091,P004,B002,D002,138637
V092,P020,B006,D003,240703
V093,P003,B001,D003,213421
V094,P002,B002,D003,136663
V095,P012,B005,D006,193170
V096,P005,B001,D001,216475
V097,P014,B004,D008,122527
V098,P020,B005,D002,110831
V099,P001,B001,D003,241740
V100,P005,B001,D003,179553
